reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
403,Tumor.Effector_TT_C_Eng + Tumor.Cancer1 -> Tumor.Effector_TT_C_Eng + Tumor.TC1 + Tumor.Cancer1,CancerTEng * Tumor.Cancer1 * ((Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc)/(s_Assoc + (Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc),Association of Effector T cells with cancer cells in the tumor,zeta.EB + zeta.CP -> zeta.EB + zeta.KQ + zeta.CP,CancerTEng * zeta.CP * ((zeta.EB/(zeta.CP+1E-100*mole))^gamma_TC_Assoc)/(s_Assoc + (zeta.EB/(zeta.CP+1E-100*mole))^gamma_TC_Assoc),-Tumor.Effector_TT_C_Eng  = - Tumor.Cancer1  =  Tumor.Effector_TT_C_Eng  =  Tumor.TC1  =  Tumor.Cancer1 = CancerTEng * Tumor.Cancer1 * ((Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc)/(s_Assoc + (Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc),-zeta.EB  = - zeta.CP  =  zeta.EB  =  zeta.KQ  =  zeta.CP = CancerTEng * zeta.CP * ((zeta.EB/(zeta.CP+1E-100*mole))^gamma_TC_Assoc)/(s_Assoc + (zeta.EB/(zeta.CP+1E-100*mole))^gamma_TC_Assoc)
404,Tumor.EffT_AR_Vasc -> null,EffT_Turnover*Tumor.EffT_AR_Vasc,Turnover of arrested Effector T cells in Tumor vasculature,zeta.DG -> null,EffT_Turnover*zeta.DG,-Tumor.EffT_AR_Vasc  =  EffT_Turnover*Tumor.EffT_AR_Vasc,-zeta.DG  =  EffT_Turnover*zeta.DG
405,Tumor.EffT_AR_Vasc -> Tumor.Effector_TT,J_Tmr*Tumor.EffT_AR_Vasc,Extravasation of arrested Effector T cells into Tumor interstitium,zeta.DG -> zeta.EA,J_Tmr*zeta.DG,-Tumor.EffT_AR_Vasc  =  Tumor.Effector_TT = J_Tmr*Tumor.EffT_AR_Vasc,-zeta.DG  =  zeta.EA = J_Tmr*zeta.DG
406,Tumor.EffT_b_Vasc -> null,EffT_Turnover*Tumor.EffT_b_Vasc,Turnover of bound Effector T cells in Tumor vasculature,zeta.DU -> null,EffT_Turnover*zeta.DU,-Tumor.EffT_b_Vasc  =  EffT_Turnover*Tumor.EffT_b_Vasc,-zeta.DU  =  EffT_Turnover*zeta.DU
407,Tumor.EffT_b_Vasc -> Tumor.EffT_AR_Vasc,AR_Tmr*Tumor.EffT_b_Vasc,Arrest of bound Effector T cells in the Tumor vasculature,zeta.DU -> zeta.DG,AR_Tmr*zeta.DU,-Tumor.EffT_b_Vasc  =  Tumor.EffT_AR_Vasc = AR_Tmr*Tumor.EffT_b_Vasc,-zeta.DU  =  zeta.DG = AR_Tmr*zeta.DU
408,Tumor.EffT_b_Vasc -> Tumor.EffT_f_Vasc,kr_Tmr*Tumor.EffT_b_Vasc,Detachment of bound Effector T cells in the Tumor vasculature,zeta.DU -> zeta.DW,kr_Tmr*zeta.DU,-Tumor.EffT_b_Vasc  =  Tumor.EffT_f_Vasc = kr_Tmr*Tumor.EffT_b_Vasc,-zeta.DU  =  zeta.DW = kr_Tmr*zeta.DU
409,Tumor.EffT_f_Vasc + Tumor.Tmr_Free_Sites -> Tumor.EffT_b_Vasc + Tumor.Tmr_Free_Sites,kf_Tmr*Tmr_Free_Sites*Tumor.EffT_f_Vasc/Vv_Tmr,Binding or free Effector T cells to the Tumor vasculature,zeta.DW + zeta.KV -> zeta.DU + zeta.KV,kf_Tmr*KV*zeta.DW/Vv_Tmr,-Tumor.EffT_f_Vasc  = - Tumor.Tmr_Free_Sites  =  Tumor.EffT_b_Vasc  =  Tumor.Tmr_Free_Sites = kf_Tmr*Tmr_Free_Sites*Tumor.EffT_f_Vasc/Vv_Tmr,-zeta.DW  = - zeta.KV  =  zeta.DU  =  zeta.KV = kf_Tmr*KV*zeta.DW/Vv_Tmr
410,Tumor.EffT_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Tmr - LC_Tmr)*Tumor.EffT_f_Vasc/Vv_Tmr,Trafficking of free Effector T cells from the Tumor vasculature to the Lungs vasculature,zeta.DW -> beta.DV,(QC_Tmr - LC_Tmr)*zeta.DW/Vv_Tmr,-Tumor.EffT_f_Vasc  =  Lungs.EffT_f_LungsVasc = (QC_Tmr - LC_Tmr)*Tumor.EffT_f_Vasc/Vv_Tmr,-zeta.DW  =  beta.DV = (QC_Tmr - LC_Tmr)*zeta.DW/Vv_Tmr
411,Tumor.EffT_f_Vasc -> null,EffT_Turnover*Tumor.EffT_f_Vasc,Turnover of free Effector T cells in Tumor vasculature,zeta.DW -> null,EffT_Turnover*zeta.DW,-Tumor.EffT_f_Vasc  =  EffT_Turnover*Tumor.EffT_f_Vasc,-zeta.DW  =  EffT_Turnover*zeta.DW
412,Tumor.mAPC_T -> Lymph_Node.mAPC,mAPC_Migrate*Tumor.mAPC_T*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),Transport of mAPCs from the tumor to the lymph node,zeta.NC -> delta.ML,mAPC_Migrate*zeta.NC*(1/Num_TDLN_Considered)*(1-mAPC_Debis_T_Inact),-Tumor.mAPC_T  =  Lymph_Node.mAPC = mAPC_Migrate*Tumor.mAPC_T*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),-zeta.NC  =  delta.ML = mAPC_Migrate*zeta.NC*(1/Num_TDLN_Considered)*(1-mAPC_Debis_T_Inact)
413,Tumor.mAPC_T -> null,mAPC_Migrate*Tumor.mAPC_T*(1-1/[Num_TDLN_Considered]),Accounting for the distribution of mAPCs from the tumor to the lymph nodes other than the lymph node compartment in the model,zeta.NC -> null,mAPC_Migrate*zeta.NC*(1-1/Num_TDLN_Considered),-Tumor.mAPC_T  =  mAPC_Migrate*Tumor.mAPC_T*(1-1/[Num_TDLN_Considered]),-zeta.NC  =  mAPC_Migrate*zeta.NC*(1-1/Num_TDLN_Considered)
414,Tumor.mAPC_T -> null,mAPC_Migrate*Tumor.mAPC_T*[mAPC_Debis_T_Inact],The distribution of mAPCs away from any of the considered lymph nodes,zeta.NC -> null,mAPC_Migrate*zeta.NC*mAPC_Debis_T_Inact,-Tumor.mAPC_T  =  mAPC_Migrate*Tumor.mAPC_T*[mAPC_Debis_T_Inact],-zeta.NC  =  mAPC_Migrate*zeta.NC*mAPC_Debis_T_Inact
415,Tumor.mAPCT_EngTregT -> Tumor.CD80_mAPCT + Tumor.mAPCT_EngTregT,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD80 expression by mAPCs interacting with the T Regulatory cells in the tumor,zeta.MN -> zeta.BV + zeta.MN,Exp_CD28/80/86/PD1/L1/L2*zeta.MN*(CD80_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC),-Tumor.mAPCT_EngTregT  =  Tumor.CD80_mAPCT  =  Tumor.mAPCT_EngTregT = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),-zeta.MN  =  zeta.BV  =  zeta.MN = Exp_CD28/80/86/PD1/L1/L2*zeta.MN*(CD80_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC)
416,Tumor.mAPCT_EngTregT -> Tumor.CD86_mAPCT + Tumor.mAPCT_EngTregT,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD86 expression by mAPCs interacting with the T Regulatory cells in the tumor,zeta.MN -> zeta.BW + zeta.MN,Exp_CD28/80/86/PD1/L1/L2*zeta.MN*(CD86_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC),-Tumor.mAPCT_EngTregT  =  Tumor.CD86_mAPCT  =  Tumor.mAPCT_EngTregT = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),-zeta.MN  =  zeta.BW  =  zeta.MN = Exp_CD28/80/86/PD1/L1/L2*zeta.MN*(CD86_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC)
417,Tumor.MDSC_T + Tumor.Effector_TT_MDSCs -> Tumor.MDSCsT_Teff + Tumor.Effector_TT_MDSCs + Tumor.MDSC_T,TregTMDSCEng*Tumor.Effector_TT_MDSCs*((Tumor.MDSC_T/(Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Tumor.MDSC_T/( Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc),Association of Effector T cells with MDSCs in the tumor,zeta.EG + zeta.Effector_TT_MDSCs -> zeta.EI + zeta.Effector_TT_MDSCs + zeta.EG,TregTMDSCEng*zeta.Effector_TT_MDSCs*((zeta.EG/(zeta.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (zeta.EG/( zeta.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc),-Tumor.MDSC_T  = - Tumor.Effector_TT_MDSCs  =  Tumor.MDSCsT_Teff  =  Tumor.Effector_TT_MDSCs  =  Tumor.MDSC_T = TregTMDSCEng*Tumor.Effector_TT_MDSCs*((Tumor.MDSC_T/(Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Tumor.MDSC_T/( Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc),-zeta.EG  = - zeta.Effector_TT_MDSCs  =  zeta.EI  =  zeta.Effector_TT_MDSCs  =  zeta.EG = TregTMDSCEng*zeta.Effector_TT_MDSCs*((zeta.EG/(zeta.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (zeta.EG/( zeta.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)
418,Tumor.MDSCsT_EngTeff -> Tumor.PD1_MDSCsT + Tumor.MDSCsT_EngTeff,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-1 expression by MDSCs interacting with the Effector T cells in the tumor,zeta.EH -> zeta.EY + zeta.EH,Exp_CD28/80/86/PD1/L1/L2*zeta.EH*(PD1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell),-Tumor.MDSCsT_EngTeff  =  Tumor.PD1_MDSCsT  =  Tumor.MDSCsT_EngTeff = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),-zeta.EH  =  zeta.EY  =  zeta.EH = Exp_CD28/80/86/PD1/L1/L2*zeta.EH*(PD1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell)
419,Tumor.MDSCsT_EngTeff -> Tumor.PDL1_MDSCsT + Tumor.MDSCsT_EngTeff,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-L1 expression by MDSCs interacting with the Effector T cells in the tumor,zeta.EH -> zeta.FW + zeta.EH,Exp_CD28/80/86/PD1/L1/L2*zeta.EH*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell),-Tumor.MDSCsT_EngTeff  =  Tumor.PDL1_MDSCsT  =  Tumor.MDSCsT_EngTeff = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),-zeta.EH  =  zeta.FW  =  zeta.EH = Exp_CD28/80/86/PD1/L1/L2*zeta.EH*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell)
420,Tumor.MDSCsT_Teff + Tumor.Effector_TT -> null,[Treg:T_IntTime]*Tumor.MDSCsT_Teff*[Sig_MDSCTeff=Total],Dissociation of MDSCs from Effector T cells with inactivation of the latter in the tumor,zeta.EI + zeta.EA -> null,Treg:T_IntTime*zeta.EI*Sig_MDSCTeff=Total,-Tumor.MDSCsT_Teff  = - Tumor.Effector_TT  =  [Treg:T_IntTime]*Tumor.MDSCsT_Teff*[Sig_MDSCTeff=Total],-zeta.EI  = - zeta.EA  =  Treg:T_IntTime*zeta.EI*Sig_MDSCTeff=Total
421,Tumor.MDSCsT_Teff -> null,[Treg:T_IntTime]*Tumor.MDSCsT_Teff*(1-[Sig_MDSCTeff=Total]),Dissociation of MDSCs from Effector T cells without inactivation of the latter in the tumor,zeta.EI -> null,Treg:T_IntTime*zeta.EI*(1-Sig_MDSCTeff=Total),-Tumor.MDSCsT_Teff  =  [Treg:T_IntTime]*Tumor.MDSCsT_Teff*(1-[Sig_MDSCTeff=Total]),-zeta.EI  =  Treg:T_IntTime*zeta.EI*(1-Sig_MDSCTeff=Total)
422,Tumor.PD1_mabt <-> Lymph_Node.PD1_mab,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.PD1_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Lymph_Node.PD1_mab/(VL),Distribution of Anti-PD-1 mAb between Tumor and Lymph Node,zeta.FK <-> delta.FD,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*zeta.FK/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*delta.FD/(VL),-Tumor.PD1_mabt  =  Lymph_Node.PD1_mab = Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.PD1_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Lymph_Node.PD1_mab/(VL),-zeta.FK  =  delta.FD = Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*zeta.FK/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*delta.FD/(VL)
423,Tumor.PD1_mabt + Tumor.[C14a=PD1] <-> Tumor.[C14a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C14a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C14a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T14 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.AO <-> zeta.AO:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.AO/Vt - koff_PD1-PD1mAb*zeta.AO:aPD1,-Tumor.PD1_mabt  = - Tumor.[C14a=PD1]  =  Tumor.[C14a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C14a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C14a=PD1:aPD1],-zeta.FK  = - zeta.AO  =  zeta.AO:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.AO/Vt - koff_PD1-PD1mAb*zeta.AO:aPD1
424,Tumor.PD1_mabt + Tumor.[C2=PD1] <-> Tumor.[C2=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C2=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C2=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T2 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.BC <-> zeta.BC:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.BC/Vt - koff_PD1-PD1mAb*zeta.BC:aPD1,-Tumor.PD1_mabt  = - Tumor.[C2=PD1]  =  Tumor.[C2=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C2=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C2=PD1:aPD1],-zeta.FK  = - zeta.BC  =  zeta.BC:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.BC/Vt - koff_PD1-PD1mAb*zeta.BC:aPD1
425,Tumor.PD1_mabt + Tumor.[C7a=PD1] <-> Tumor.[C7a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C7a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C7a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T7 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.BL <-> zeta.BL:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.BL/Vt - koff_PD1-PD1mAb*zeta.BL:aPD1,-Tumor.PD1_mabt  = - Tumor.[C7a=PD1]  =  Tumor.[C7a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C7a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C7a=PD1:aPD1],-zeta.FK  = - zeta.BL  =  zeta.BL:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.BL/Vt - koff_PD1-PD1mAb*zeta.BL:aPD1
426,Tumor.PD1_mabt + Tumor.[C9a=PD1] <-> Tumor.[C9a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C9a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C9a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T9 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.BQ <-> zeta.BQ:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.BQ/Vt - koff_PD1-PD1mAb*zeta.BQ:aPD1,-Tumor.PD1_mabt  = - Tumor.[C9a=PD1]  =  Tumor.[C9a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C9a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C9a=PD1:aPD1],-zeta.FK  = - zeta.BQ  =  zeta.BQ:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.BQ/Vt - koff_PD1-PD1mAb*zeta.BQ:aPD1
427,Tumor.PD1_mabt + Tumor.[T10b=PD1] <-> Tumor.[T10b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T10b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T10b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T10 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.HO <-> zeta.HO:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.HO/Vt - koff_PD1-PD1mAb*zeta.HO:aPD1,-Tumor.PD1_mabt  = - Tumor.[T10b=PD1]  =  Tumor.[T10b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T10b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T10b=PD1:aPD1],-zeta.FK  = - zeta.HO  =  zeta.HO:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.HO/Vt - koff_PD1-PD1mAb*zeta.HO:aPD1
428,Tumor.PD1_mabt + Tumor.[T11b=PD1] <-> Tumor.[T11b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T11b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T11b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T11 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.HW <-> zeta.HW:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.HW/Vt - koff_PD1-PD1mAb*zeta.HW:aPD1,-Tumor.PD1_mabt  = - Tumor.[T11b=PD1]  =  Tumor.[T11b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T11b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T11b=PD1:aPD1],-zeta.FK  = - zeta.HW  =  zeta.HW:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.HW/Vt - koff_PD1-PD1mAb*zeta.HW:aPD1
429,Tumor.PD1_mabt + Tumor.[T12b=PD1] <-> Tumor.[T12b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T12b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T12b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T12 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.IB <-> zeta.IB:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.IB/Vt - koff_PD1-PD1mAb*zeta.IB:aPD1,-Tumor.PD1_mabt  = - Tumor.[T12b=PD1]  =  Tumor.[T12b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T12b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T12b=PD1:aPD1],-zeta.FK  = - zeta.IB  =  zeta.IB:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.IB/Vt - koff_PD1-PD1mAb*zeta.IB:aPD1
430,Tumor.PD1_mabt + Tumor.[T14b=PD1] <-> Tumor.[T14b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T14b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T14b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T14 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.IN <-> zeta.IN:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.IN/Vt - koff_PD1-PD1mAb*zeta.IN:aPD1,-Tumor.PD1_mabt  = - Tumor.[T14b=PD1]  =  Tumor.[T14b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T14b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T14b=PD1:aPD1],-zeta.FK  = - zeta.IN  =  zeta.IN:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.IN/Vt - koff_PD1-PD1mAb*zeta.IN:aPD1
431,Tumor.PD1_mabt + Tumor.[T7b=PD1] <-> Tumor.[T7b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T7b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T7b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T7 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.KE <-> zeta.KE:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.KE/Vt - koff_PD1-PD1mAb*zeta.KE:aPD1,-Tumor.PD1_mabt  = - Tumor.[T7b=PD1]  =  Tumor.[T7b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T7b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T7b=PD1:aPD1],-zeta.FK  = - zeta.KE  =  zeta.KE:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.KE/Vt - koff_PD1-PD1mAb*zeta.KE:aPD1
432,Tumor.PD1_mabt + Tumor.[T8a=PD1] <-> Tumor.[T8a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T8a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T8a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T8 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.KH <-> zeta.KH:aPD1,kon_PD1-PD1mAb*zeta.FK*zeta.KH/Vt - koff_PD1-PD1mAb*zeta.KH:aPD1,-Tumor.PD1_mabt  = - Tumor.[T8a=PD1]  =  Tumor.[T8a=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T8a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T8a=PD1:aPD1],-zeta.FK  = - zeta.KH  =  zeta.KH:aPD1 = kon_PD1-PD1mAb*zeta.FK*zeta.KH/Vt - koff_PD1-PD1mAb*zeta.KH:aPD1
433,Tumor.PD1_mabt + Tumor.PD1_TeffT <-> Tumor.[PD1:aPD1_Teff],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.PD1_TeffT/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_Teff],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T Regulatory cells and Anti-PD-1 in the tumor,zeta.FK + zeta.EZ <-> zeta.EV,kon_PD1-PD1mAb*zeta.FK*zeta.EZ/Vt - koff_PD1-PD1mAb*zeta.EV,-Tumor.PD1_mabt  = - Tumor.PD1_TeffT  =  Tumor.[PD1:aPD1_Teff] = [kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.PD1_TeffT/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_Teff],-zeta.FK  = - zeta.EZ  =  zeta.EV = kon_PD1-PD1mAb*zeta.FK*zeta.EZ/Vt - koff_PD1-PD1mAb*zeta.EV
434,Tumor.PD1_MDSCsT + Tumor.PD1_mabt <-> Tumor.[PD1:aPD1_MDSCs],[kon_PD1-PD1mAb]*Tumor.PD1_MDSCsT*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_MDSCs],Interaction at the immunological synapse between PD-1 expressed by the MDSCs interacting with Effector T cells and Anti- PD-1 in the tumor,zeta.EY + zeta.FK <-> zeta.EU,kon_PD1-PD1mAb*zeta.EY*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.EU,-Tumor.PD1_MDSCsT  = - Tumor.PD1_mabt  =  Tumor.[PD1:aPD1_MDSCs] = [kon_PD1-PD1mAb]*Tumor.PD1_MDSCsT*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_MDSCs],-zeta.EY  = - zeta.FK  =  zeta.EU = kon_PD1-PD1mAb*zeta.EY*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.EU
435,Tumor.PD1_MDSCsT + Tumor.PDL1_TeffT1 <-> Tumor.[PD1:PDL1_MDSCT],[kon_PD1_PDL1]*Tumor.PD1_MDSCsT*Tumor.PDL1_TeffT1/[Vol_Cell-Rec_MDSC-TeffT] - [koff_PD1_PDL1]*Tumor.[PD1:PDL1_MDSCT],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells and PD-1 on the MDSCs in the tumor,zeta.EY + zeta.FY <-> zeta.ES,kon_PD1_PDL1*zeta.EY*zeta.FY/Vol_Cell-Rec_MDSC-TeffT - koff_PD1_PDL1*zeta.ES,-Tumor.PD1_MDSCsT  = - Tumor.PDL1_TeffT1  =  Tumor.[PD1:PDL1_MDSCT] = [kon_PD1_PDL1]*Tumor.PD1_MDSCsT*Tumor.PDL1_TeffT1/[Vol_Cell-Rec_MDSC-TeffT] - [koff_PD1_PDL1]*Tumor.[PD1:PDL1_MDSCT],-zeta.EY  = - zeta.FY  =  zeta.ES = kon_PD1_PDL1*zeta.EY*zeta.FY/Vol_Cell-Rec_MDSC-TeffT - koff_PD1_PDL1*zeta.ES
